"","ioname","orgname","year","russia","china","kazakhstan","kyrgyzstan","tajikistan","turkmenistan","uzbekistan","usa"
"2574","CAECC","Central Asian Economic Community",1995,0,0,1,1,0,0,1,0
"3268","CIS","Commonwealth of Independent States",1995,1,0,1,1,1,1,1,0
"3952","EAPC","Euro-Atlantic Partnership Council",1995,1,0,1,1,0,1,1,0
"3964","EAPO","Eurasian Patent Org.",1995,1,0,1,1,1,1,0,0
"3980","EBRD","European Bank for Reconstruction & Development",1995,1,0,1,1,1,1,1,1
"4115","ECO","Economic Cooperation Organization",1995,0,0,1,1,1,1,1,0
"4944","FAO","Food & Ag Org",1995,0,1,0,1,0,0,0,1
"5551","IAEA","Intl Atomic Energy Agency",1995,1,1,1,0,0,0,1,1
"6128","ICAO","Intl Civil Aviation Org",1995,1,1,1,1,0,1,1,1
"6925","IFAD","Int Fund for Agriculture & Development",1995,0,1,0,1,1,0,0,1
"6968","IFC","Int'l Finance Corporation",1995,1,1,1,1,1,0,1,1
"7037","IGC","Intl Grains Council",1995,1,0,1,0,0,0,0,1
"7389","IMO","Intl Maritime Org",1995,1,1,1,0,0,1,0,1
"7629","INTERPOL","Intl Criminal Police Comm",1995,1,1,1,0,0,0,1,1
"7823","IOMig","Intl Org for Migration",1995,0,0,0,0,1,0,0,1
"7897","IOPCF","Int'l Oil Pollution Compens. Funds",1995,1,1,1,0,0,0,1,0
"8209","ISB","Interstate Bank",1995,1,0,1,1,1,1,1,0
"8241","ISDB","Islamic Dev. Bank",1995,0,0,0,1,0,0,0,0
"8901","JINR","Joint Instit for Nuke Research",1995,1,0,1,0,0,0,1,0
"9493","Montreal","Multilat. Fund for the Implement. of the Montreal Protocol",1995,1,1,0,0,0,1,1,1
"9591","NAM","Non-Aligned Movement",1995,0,0,0,0,0,1,1,0
"10318","OCR","Org for the Collaboration of Railways",1995,1,1,1,1,1,1,1,0
"10438","OIC","Org. Islamic Conference",1995,0,0,1,1,1,1,1,0
"10576","OSCE","Org. Security Cooperation Europe",1995,1,0,1,1,1,1,1,1
"10855","PCA","Permanent Court of Arbitration",1995,1,1,0,1,0,0,0,1
"11269","RCC","Reg Commonwealth in the Field of Comm",1995,1,0,1,1,1,1,1,0
"11922","Turksoy","Joint Admin. of Turkish Culture & Arts",1995,0,0,1,1,0,1,1,0
"12234","UNESCO","UN Education, Scientific, & Cultural Org",1995,1,1,1,1,1,1,1,0
"12274","UNIDO","UN Industrial Development Org",1995,1,1,1,1,1,1,1,0
"12571","WCO","World Customs Org",1995,1,1,1,0,0,1,1,1
"12836","WTOURO","World Tourism Org.",1995,1,1,1,1,0,1,1,1
